[<aliyunsdkcore.client.AcsClient object at 0x11129bf28>]
{'id': 'cd530207-5252-48ca-9fdf-7a27dd3942af', 'ip': '10.26.20.128', 'hostname': 'iZbp174tqmt4v3t91dqhtbZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '7905a818-0b0f-4ce7-b51d-7546cba34653', 'ip': '10.25.2.173', 'hostname': 'iZbp174tqmt4v3t91dqht9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '31cc36eb-0994-4d8f-99af-0bba20c8f95f', 'ip': '10.26.21.189', 'hostname': 'iZbp174tqmt4v3t91dqhtdZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'cd3d2975-ca2a-41e4-9c9b-3dbab2a28f44', 'ip': '10.27.2.51', 'hostname': 'iZbp174tqmt4v3t91dqhteZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'ebab3cb1-71c5-4905-bdeb-36578028c229', 'ip': '10.25.172.199', 'hostname': 'iZbp15ev6nlhq34txzicrxZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.234.12', 'cpu_count': 8, 'memory': 32768}
{'id': 'c6e854f9-6182-4296-b8f9-48946604fc16', 'ip': '10.27.4.199', 'hostname': 'iZbp15ev6nlhq34txzicrtZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '116.62.31.180', 'cpu_count': 8, 'memory': 32768}
{'id': '724df0e8-d34a-41bd-82ee-d2e5d26206ac', 'ip': '10.25.171.87', 'hostname': 'iZbp15ev6nlhq34txzicruZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.172.4', 'cpu_count': 8, 'memory': 32768}
{'id': '93e01746-9028-4d68-9079-d7f5a9a48499', 'ip': '10.26.250.207', 'hostname': 'iZbp15ev6nlhq34txzicrvZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.233.164', 'cpu_count': 8, 'memory': 32768}
{'id': '3fb52fb3-88bb-4d00-b124-2b22eb416253', 'ip': '10.27.5.190', 'hostname': 'iZbp15ev6nlhq34txzicrwZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '116.62.29.23', 'cpu_count': 8, 'memory': 32768}
{'id': '83f1b4af-54fa-4add-b658-690dba937094', 'ip': '10.171.169.162', 'hostname': 'iZbp1au2evvbnwf58dzy43Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 1, 'memory': 2048}
